path1_bw,path1_loss,path1_delay,path2_bw,path2_loss,path2_delay,scheduler_name,no_of_itr,file_size,time,p1_data,p2_data
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,32.7171,53560.0,13208.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,23.9384,47568.0,19204.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,25.6105,47076.0,19696.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,29.4112,52484.0,14288.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,30.0274,53896.0,12872.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,23.0514,49608.0,17168.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,29.4784,52300.0,14468.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,24.6156,39880.0,26896.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,26.1862,45576.0,21200.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,24.4321,49308.0,17484.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,30.2038,51588.0,15184.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,26.1828,51248.0,15524.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,29.8883,52096.0,14676.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,24.2491,53176.0,13596.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,28.8791,53728.0,13044.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,31.1895,54004.0,12772.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,29.3940,53152.0,13616.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,29.1005,50824.0,15948.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,24.6488,51368.0,15416.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,26.5824,49804.0,16968.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,24.1827,52064.0,14708.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,28.0172,51900.0,14876.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,24.5488,49072.0,17700.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,28.5018,52936.0,13836.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,30.2975,53644.0,13128.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,25.7082,55052.0,11724.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,32.1433,53456.0,13316.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,26.2561,55340.0,11440.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,22.8509,48572.0,18200.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,28.2174,51296.0,15484.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,30.8749,53356.0,13420.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,24.6313,49376.0,17396.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,30.5342,54244.0,12532.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,29.2829,52032.0,14736.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,26.0519,55992.0,10776.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_2,pumar,50,64MB,29.8049,53576.0,13192.0
